5 H+[m] + NADH[m] + ubiquinone-6[m] => 4 H+[c] + NAD[m] + ubiquinol-6[m]	NADH dehydrogenase (complex I)	RHTO_00906 and RHTO_00668 and RHTO_07027	Oxidative phosphorylation	1.6.5.3
geranylgeranyl diphosphate[c] <=> diphosphate[c] + 15-cis-phytoene[c]	phytoene synthase	RHTO_04605	Caretonoid metabolism	
3 NAD[c] + 15-cis-phytoene[c] <=> 3 H+[c] + 3 NADH[c] + neurosporene[c]	phytoene dehydrogenase	RHTO_04602	Caretonoid metabolism	
H+[c] + NADH[c] + oxygen[c] + neurosporene[c] <=> 2 H2O[c] + NAD[c] + lycopene[c]	phytoene dehydrogenase	RHTO_04602	Caretonoid metabolism	
lycopene[c] <=> gamma-carotene[c]	phytoene synthase	RHTO_04605	Caretonoid metabolism	
gamma-carotene[c] <=> beta-carotene[c]	phytoene synthase	RHTO_04605	Caretonoid metabolism	
gamma-carotene[c] <=> torulene[c]	phytoene synthase	RHTO_04605	Caretonoid metabolism	
oxygen[c] + torulene[c] <=> torularhodin[c]	torularhodin synthase	***	Caretonoid metabolism	
(R)-carnitine[c] + palmitoyl-CoA[c] => coenzyme A[c] + O-palmitoylcarnitine[c]	cytoplasmatic carnitine acyltransferase (C16:0)	RHTO_01903		
(R)-carnitine[m] + O-palmitoylcarnitine[c] <=> (R)-carnitine[c] + O-palmitoylcarnitine[m]	fatty acylcarnitine transport (C16:0)	RHTO_01354		
coenzyme A[m] + O-palmitoylcarnitine[m] => (R)-carnitine[m] + palmitoyl-CoA[m]	mitochondrial carnitine acyltransferase (C16:0)	RHTO_01064 and RHTO_01341 and RHTO_00095		
(R)-carnitine[c] + icosanoyl-CoA[c] => coenzyme A[c] + O-icosanoylcarnitine[c]	cytoplasmatic carnitine acyltransferase (C20:0)	RHTO_01903		
(R)-carnitine[m] + O-icosanoylcarnitine[c] <=> (R)-carnitine[c] + O-icosanoylcarnitine[m]	fatty acylcarnitine transport (C20:0)	RHTO_01354		
coenzyme A[m] + O-icosanoylcarnitine[m] => (R)-carnitine[m] + icosanoyl-CoA[m]	mitochondrial carnitine acyltransferase (C20:0)	RHTO_01064 and RHTO_01341 and RHTO_00095		
(R)-carnitine[c] + docosanoyl-CoA[c] => coenzyme A[c] + O-docosanoylcarnitine[c]	cytoplasmatic carnitine acyltransferase (C22:0)	RHTO_01903		
(R)-carnitine[m] + O-docosanoylcarnitine[c] <=> (R)-carnitine[c] + O-docosanoylcarnitine[m]	fatty acylcarnitine transport (C22:0)	RHTO_01354		
coenzyme A[m] + O-docosanoylcarnitine[m] => (R)-carnitine[m] + docosanoyl-CoA[m]	mitochondrial carnitine acyltransferase (C22:0)	RHTO_01064 and RHTO_01341 and RHTO_00095		
(R)-carnitine[c] + tetracosanoyl-CoA[c] => coenzyme A[c] + O-tetracosanoylcarnitine[c]	cytoplasmatic carnitine acyltransferase (C24:0)	RHTO_01903		
(R)-carnitine[m] + O-tetracosanoylcarnitine[c] <=> (R)-carnitine[c] + O-tetracosanoylcarnitine[m]	fatty acylcarnitine transport (C24:0)	RHTO_01354		
coenzyme A[m] + O-tetracosanoylcarnitine[m] => (R)-carnitine[m] + tetracosanoyl-CoA[m]	mitochondrial carnitine acyltransferase (C24:0)	RHTO_01064 and RHTO_01341 and RHTO_00095		
(R)-carnitine[c] + hexacosanoyl-CoA[c] => coenzyme A[c] + O-hexacosanoylcarnitine[c]	cytoplasmatic carnitine acyltransferase (C26:0)	RHTO_01903		
(R)-carnitine[m] + O-hexacosanoylcarnitine[c] <=> (R)-carnitine[c] + O-hexacosanoylcarnitine[m]	fatty acylcarnitine transport (C26:0)	RHTO_01354		
coenzyme A[m] + O-hexacosanoylcarnitine[m] => (R)-carnitine[m] + hexacosanoyl-CoA[m]	mitochondrial carnitine acyltransferase (C26:0)	RHTO_01064 and RHTO_01341 and RHTO_00095		
(R)-carnitine[c] + oleoyl-CoA[c] => coenzyme A[c] + O-oleoylcarnitine[c]	cytoplasmatic carnitine acyltransferase (C18:1)	RHTO_01903		
(R)-carnitine[m] + O-oleoylcarnitine[c] <=> (R)-carnitine[c] + O-oleoylcarnitine[m]	fatty acylcarnitine transport (C18:1)	RHTO_01354		
coenzyme A[m] + O-oleoylcarnitine[m] => (R)-carnitine[m] + oleoyl-CoA[m]	mitochondrial carnitine acyltransferase (C18:1)	RHTO_01064 and RHTO_01341 and RHTO_00095		
(R)-carnitine[c] + palmitoleoyl-CoA(4-)[c] => coenzyme A[c] + O-palmitoleoylcarnitine[c]	cytoplasmatic carnitine acyltransferase (C16:1)	RHTO_01903		
(R)-carnitine[m] + O-palmitoleoylcarnitine[c] <=> (R)-carnitine[c] + O-palmitoleoylcarnitine[m]	fatty acylcarnitine transport (C16:1)	RHTO_01354		
coenzyme A[m] + O-palmitoleoylcarnitine[m] => (R)-carnitine[m] + palmitoleoyl-CoA(4-)[m]	mitochondrial carnitine acyltransferase (C16:1)	RHTO_01064 and RHTO_01341 and RHTO_00095		
(R)-carnitine[c] + stearoyl-CoA[c] => coenzyme A[c] + O-stearoylcarnitine[c]	cytoplasmatic carnitine acyltransferase (C18:0)	RHTO_01903		
(R)-carnitine[m] + O-stearoylcarnitine[c] <=> (R)-carnitine[c] + O-stearoylcarnitine[m]	fatty acylcarnitine transport (C18:0)	RHTO_01354		
