5 H+[m] + NADH[m] + ubiquinone-6[m] => 4 H+[c] + NAD[m] + ubiquinol-6[m]	NADH dehydrogenase (complex I)	RHTO_00906 and RHTO_00668 and RHTO_07027	Oxidative phosphorylation	1.6.5.3
coenzyme A[m] + O-stearoylcarnitine[m] => (R)-carnitine[m] + stearoyl-CoA[m]	mitochondrial carnitine acyltransferase (C18:0)	RHTO_01064 and RHTO_01341 and RHTO_00095		
(R)-carnitine[c] + lauroyl-CoA[c] => coenzyme A[c] + O-lauroylcarnitine[c]	cytoplasmatic carnitine acyltransferase (C12:0)	RHTO_01903		
(R)-carnitine[m] + O-lauroylcarnitine[c] <=> (R)-carnitine[c] + O-lauroylcarnitine[m]	fatty acylcarnitine transport (C12:0)	RHTO_01354		
coenzyme A[m] + O-lauroylcarnitine[m] => (R)-carnitine[m] + lauroyl-CoA[m]	mitochondrial carnitine acyltransferase (C12:0)	RHTO_01064 and RHTO_01341 and RHTO_00095		
(R)-carnitine[c] + myristoyl-CoA[c] => coenzyme A[c] + O-myristoylcarnitine[c]	cytoplasmatic carnitine acyltransferase (C14:0)	RHTO_01903		
(R)-carnitine[m] + O-myristoylcarnitine[c] <=> (R)-carnitine[c] + O-myristoylcarnitine[m]	fatty acylcarnitine transport (C14:0)	RHTO_01354		
coenzyme A[m] + O-myristoylcarnitine[m] => (R)-carnitine[m] + myristoyl-CoA[m]	mitochondrial carnitine acyltransferase (C14:0)	RHTO_01064 and RHTO_01341 and RHTO_00095		
(S)-malate[c] + NADP(+)[c] => carbon dioxide[c] + NADPH[c] + pyruvate[c]	malic enzyme (NADP) cytoplasmic	RHTO_03795		
NAD[m] + (S)-3-hydroxytetradecanoyl-CoA[m] <=> H+[m] + NADH[m] + 3-oxotetradecanoyl-CoA[m]	3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA)	RHTO_05537	Fatty acid degradation (mitochondrial)	
coenzyme A[m] + 3-oxooctadecanoyl-CoA[m] <=> acetyl-CoA[m] + palmitoyl-CoA[m]	acetyl-CoA C-acyltransferase (palmitoyl-CoA)	RHTO_00476	Fatty acid degradation (mitochondrial)	
coenzyme A[m] + 3-oxohexacosanoyl-CoA[m] <=> acetyl-CoA[m] + tetracosanoyl-CoA[m]	acetyl-CoA C-acyltransferase (tetracosanoyl-CoA)	RHTO_00477	Fatty acid degradation (mitochondrial)	
coenzyme A[m] + 3-oxopalmitoyl-CoA[m] <=> acetyl-CoA[m] + myristoyl-CoA[m]	acetyl-CoA C-acyltransferase (myristoyl-CoA)	RHTO_00478	Fatty acid degradation (mitochondrial)	
coenzyme A[m] + 3-oxotetradecanoyl-CoA[m] <=> acetyl-CoA[m] + lauroyl-CoA[m]	acetyl-CoA C-acyltransferase (lauroyl-CoA)	RHTO_00479	Fatty acid degradation (mitochondrial)	
coenzyme A[m] + 3-oxolauroyl-CoA[m] <=> acetyl-CoA[m] + decanoyl-CoA[m]	acetyl-CoA C-acyltransferase (decanoyl-CoA)	RHTO_00480	Fatty acid degradation (mitochondrial)	
FAD[m] + decanoyl-CoA[m] <=> FADH2[m] + trans-dec-2-enoyl-CoA[m]	acyl-CoA oxidase (decanoyl-CoA)	RHTO_04971 or RHTO_06738 or RHTO_05797 or RHTO_03594 or RHTO_01625 or RHTO_00397 or RHTO_05970 or RHTO_04579	Fatty acid degradation (mitochondrial)	
FAD[m] + lauroyl-CoA[m] <=> FADH2[m] + trans-dodec-2-enoyl-CoA[m]	acyl-CoA oxidase (dodecanoyl-CoA)	RHTO_04971 or RHTO_06738 or RHTO_05797 or RHTO_03594 or RHTO_01625 or RHTO_00397 or RHTO_05970 or RHTO_04580	Fatty acid degradation (mitochondrial)	
FAD[m] + hexacosanoyl-CoA[m] <=> FADH2[m] + trans-hexacos-2-enoyl-CoA[m]	acyl-CoA oxidase (hexacosanoyl-CoA)	RHTO_04971 or RHTO_06738 or RHTO_05797 or RHTO_03594 or RHTO_01625 or RHTO_00397 or RHTO_05970 or RHTO_04581	Fatty acid degradation (mitochondrial)	
FAD[m] + palmitoyl-CoA[m] <=> FADH2[m] + hexadec-2-enoyl-CoA[m]	acyl-CoA oxidase (hexadecanoyl-CoA)	RHTO_04971 or RHTO_06738 or RHTO_05797 or RHTO_03594 or RHTO_01625 or RHTO_00397 or RHTO_05970 or RHTO_04582	Fatty acid degradation (mitochondrial)	
FAD[m] + stearoyl-CoA[m] <=> FADH2[m] + trans-octadec-2-enoyl-CoA[m]	acyl-CoA oxidase (octadecanoyl-CoA)	RHTO_04971 or RHTO_06738 or RHTO_05797 or RHTO_03594 or RHTO_01625 or RHTO_00397 or RHTO_05970 or RHTO_04583	Fatty acid degradation (mitochondrial)	
FAD[m] + myristoyl-CoA[m] <=> FADH2[m] + trans-tetradec-2-enoyl-CoA[m]	acyl-CoA oxidase (tetradecanoyl-CoA)	RHTO_04971 or RHTO_06738 or RHTO_05797 or RHTO_03594 or RHTO_01625 or RHTO_00397 or RHTO_05970 or RHTO_04584	Fatty acid degradation (mitochondrial)	
FAD[m] + butanoyl-CoA[m] <=> FADH2[m] + trans-but-2-enoyl-CoA[m]	acyl-CoA oxidase (butanoyl-CoA)	RHTO_04971 or RHTO_06738 or RHTO_05797 or RHTO_03594 or RHTO_01625 or RHTO_00397 or RHTO_05970 or RHTO_04585	Fatty acid degradation (mitochondrial)	
FAD[m] + hexanoyl-CoA[m] <=> FADH2[m] + trans-hex-2-enoyl-CoA[m]	acyl-CoA oxidase (hexanoyl-CoA)	RHTO_04971 or RHTO_06738 or RHTO_05797 or RHTO_03594 or RHTO_01625 or RHTO_00397 or RHTO_05970 or RHTO_04586	Fatty acid degradation (mitochondrial)	
FAD[m] + octanoyl-CoA[m] <=> FADH2[m] + trans-oct-2-enoyl-CoA[m]	acyl-CoA oxidase (octanoyl-CoA)	RHTO_04971 or RHTO_06738 or RHTO_05797 or RHTO_03594 or RHTO_01625 or RHTO_00397 or RHTO_05970 or RHTO_04587	Fatty acid degradation (mitochondrial)	
FAD[m] + icosanoyl-CoA[m] <=> FADH2[m] + trans-icos-2-enoyl-CoA[m]	acyl-CoA oxidase (icosanoyl-CoA)	RHTO_04971 or RHTO_06738 or RHTO_05797 or RHTO_03594 or RHTO_01625 or RHTO_00397 or RHTO_05970 or RHTO_04588	Fatty acid degradation (mitochondrial)	
FAD[m] + docosanoyl-CoA[m] <=> FADH2[m] + trans-docos-2-enoyl-CoA[m]	acyl-CoA oxidase (docosanoyl-CoA)	RHTO_04971 or RHTO_06738 or RHTO_05797 or RHTO_03594 or RHTO_01625 or RHTO_00397 or RHTO_05970 or RHTO_04589	Fatty acid degradation (mitochondrial)	
FAD[m] + tetracosanoyl-CoA[m] <=> FADH2[m] + trans-tetracos-2-enoyl-CoA[m]	acyl-CoA oxidase (tetracosanoyl-CoA)	RHTO_04971 or RHTO_06738 or RHTO_05797 or RHTO_03594 or RHTO_01625 or RHTO_00397 or RHTO_05970 or RHTO_04590	Fatty acid degradation (mitochondrial)	
FAD[m] + palmitoleoyl-CoA(4-)[m] <=> FADH2[m] + trans-2,cis-9-hexadecadienoyl-CoA[m]	acyl-CoA oxidase (palmitoleoyl-CoA)	RHTO_04971 or RHTO_06738 or RHTO_05797 or RHTO_03594 or RHTO_01625 or RHTO_00397 or RHTO_05970 or RHTO_04591	Fatty acid degradation (mitochondrial)	
FAD[m] + cis-tetradec-7-enoyl-CoA[m] <=> FADH2[m] + trans-2,cis-7-tetradecadienoyl-CoA[m]	acyl-CoA oxidase (cis-tetradec-7-enoyl-CoA)	RHTO_04971 or RHTO_06738 or RHTO_05797 or RHTO_03594 or RHTO_01625 or RHTO_00397 or RHTO_05970 or RHTO_04592	Fatty acid degradation (mitochondrial)	
FAD[m] + cis-dodec-5-enoyl-CoA[m] <=> FADH2[m] + trans-2,cis-5-dodecadienoyl-CoA[m]	acyl-CoA oxidase (cis-dodec-5-enoyl-CoA)	RHTO_04971 or RHTO_06738 or RHTO_05797 or RHTO_03594 or RHTO_01625 or RHTO_00397 or RHTO_05970 or RHTO_04593	Fatty acid degradation (mitochondrial)	
FAD[m] + oleoyl-CoA[m] <=> FADH2[m] + trans-2,cis-9-octadecadienoyl-CoA[m]	acyl-CoA oxidase (oleoyl-CoA)	RHTO_04971 or RHTO_06738 or RHTO_05797 or RHTO_03594 or RHTO_01625 or RHTO_00397 or RHTO_05970 or RHTO_04594	Fatty acid degradation (mitochondrial)	
FAD[m] + cis-hexadec-7-enoyl-CoA[m] <=> FADH2[m] + trans-2,cis-7-hexadecadienoyl-CoA[m]	acyl-CoA oxidase (cis-hexadec-7-enoyl-CoA)	RHTO_04971 or RHTO_06738 or RHTO_05797 or RHTO_03594 or RHTO_01625 or RHTO_00397 or RHTO_05970 or RHTO_04595	Fatty acid degradation (mitochondrial)	
FAD[m] + cis-tetradec-5-enoyl-CoA[m] <=> FADH2[m] + trans-2,cis-5-tetradecadienoyl-CoA[m]	acyl-CoA oxidase (cis-tetradec-5-enoyl-CoA)	RHTO_04971 or RHTO_06738 or RHTO_05797 or RHTO_03594 or RHTO_01625 or RHTO_00397 or RHTO_05970 or RHTO_04596	Fatty acid degradation (mitochondrial)	
H2O[m] + trans-dec-2-enoyl-CoA[m] <=> (R)-3-hydroxydecanoyl-CoA[m]	2-enoyl-CoA hydratase (3-hydroxydecanoyl-CoA)	RHTO_05407 or RHTO_04298 or RHTO_02517	Fatty acid degradation (mitochondrial)	
H2O[m] + trans-dodec-2-enoyl-CoA[m] <=> (R)-3-hydroxylauroyl-CoA[m]	2-enoyl-CoA hydratase (3-hydroxydodecanoyl-CoA)	RHTO_05407 or RHTO_04298 or RHTO_02518	Fatty acid degradation (mitochondrial)	
H2O[m] + trans-tetradec-2-enoyl-CoA[m] <=> (S)-3-hydroxytetradecanoyl-CoA[m]	2-enoyl-CoA hydratase (3-hydroxytetradecanoyl-CoA)	RHTO_05407 or RHTO_04298 or RHTO_02519	Fatty acid degradation (mitochondrial)	
H2O[m] + hexadec-2-enoyl-CoA[m] <=> (S)-3-hydroxypalmitoyl-CoA[m]	2-enoyl-CoA hydratase (3-hydroxyhexadecanoyl-CoA)	RHTO_05407 or RHTO_04298 or RHTO_02520	Fatty acid degradation (mitochondrial)	
H2O[m] + trans-octadec-2-enoyl-CoA[m] <=> 3-hydroxyoctadecanoyl-CoA[m]	2-enoyl-CoA hydratase (3-hydroxyoctadecanoyl-CoA)	RHTO_05407 or RHTO_04298 or RHTO_02521	Fatty acid degradation (mitochondrial)	
H2O[m] + trans-hexacos-2-enoyl-CoA[m] <=> (S)-3-hydroxyhexacosanoyl-CoA[m]	2-enoyl-CoA hydratase (3-hydroxyhexacosanoyl-CoA)	RHTO_05407 or RHTO_04298 or RHTO_02522	Fatty acid degradation (mitochondrial)	
H2O[m] + trans-but-2-enoyl-CoA[m] <=> (R)-3-hydroxybutanoyl-CoA[m]	2-enoyl-CoA hydratase (3-hydroxybutanoyl-CoA)	RHTO_05407 or RHTO_04298 or RHTO_02523	Fatty acid degradation (mitochondrial)	
H2O[m] + trans-hex-2-enoyl-CoA[m] <=> (R)-3-hydroxyhexanoyl-CoA[m]	2-enoyl-CoA hydratase (3-hydroxyhexanoyl-CoA)	RHTO_05407 or RHTO_04298 or RHTO_02524	Fatty acid degradation (mitochondrial)	
H2O[m] + trans-oct-2-enoyl-CoA[m] <=> (R)-3-hydroxyoctanoyl-CoA[m]	2-enoyl-CoA hydratase (3-hydroxyoctanoyl-CoA)	RHTO_05407 or RHTO_04298 or RHTO_02525	Fatty acid degradation (mitochondrial)	
H2O[m] + trans-icos-2-enoyl-CoA[m] <=> (R)-3-hydroxyicosanoyl-CoA[m]	2-enoyl-CoA hydratase (3-hydroxyicosanoyl-CoA)	RHTO_05407 or RHTO_04298 or RHTO_02526	Fatty acid degradation (mitochondrial)	
H2O[m] + trans-docos-2-enoyl-CoA[m] <=> (R)-3-hydroxydocosanoyl-CoA[m]	2-enoyl-CoA hydratase (3-hydroxydocosanoyl-CoA)	RHTO_05407 or RHTO_04298 or RHTO_02527	Fatty acid degradation (mitochondrial)	
H2O[m] + trans-tetracos-2-enoyl-CoA[m] <=> (R)-3-hydroxytetracosanoyl-CoA[m]	2-enoyl-CoA hydratase (3-hydroxytetracosanoyl-CoA)	RHTO_05407 or RHTO_04298 or RHTO_02528	Fatty acid degradation (mitochondrial)	
H2O[m] + trans-2,cis-9-hexadecadienoyl-CoA[m] <=> (R)-3-hydroxy-cis-hexadec-9-enoyl-CoA[m]	2-enoyl-CoA hydratase (3-hydroxy-cis-hexadec-9-enoyl-CoA)	RHTO_05407 or RHTO_04298 or RHTO_02529	Fatty acid degradation (mitochondrial)	
H2O[m] + trans-2,cis-7-tetradecadienoyl-CoA[m] <=> (R)-3-hydroxy-cis-tetradec-7-enoyl-CoA[m]	2-enoyl-CoA hydratase (3-hydroxy-cis-tetradec-7-enoyl-CoA)	RHTO_05407 or RHTO_04298 or RHTO_02530	Fatty acid degradation (mitochondrial)	
H2O[m] + trans-2,cis-5-dodecadienoyl-CoA[m] <=> (R)-3-hydroxy-cis-dodec-5-enoyl-CoA[m]	2-enoyl-CoA hydratase (3-hydroxy-cis-dodec-5-enoyl-CoA)	RHTO_05407 or RHTO_04298 or RHTO_02531	Fatty acid degradation (mitochondrial)	
H2O[m] + trans-2,cis-9-octadecadienoyl-CoA[m] <=> (R)-3-hydroxy-cis-octadec-9-enoyl-CoA[m]	2-enoyl-CoA hydratase (3-hydroxy-cis-octadec-9-enoyl-CoA)	RHTO_05407 or RHTO_04298 or RHTO_02532	Fatty acid degradation (mitochondrial)	
H2O[m] + trans-2,cis-7-hexadecadienoyl-CoA[m] <=> (R)-3-hydroxy-cis-hexadec-7-enoyl-CoA[m]	2-enoyl-CoA hydratase (3-hydroxy-cis-hexadec-7-enoyl-CoA)	RHTO_05407 or RHTO_04298 or RHTO_02533	Fatty acid degradation (mitochondrial)	
H2O[m] + trans-2,cis-5-tetradecadienoyl-CoA[m] <=> (R)-3-hydroxy-cis-tetradec-5-enoyl-CoA[m]	2-enoyl-CoA hydratase (3-hydroxy-cis-tetradec-5-enoyl-CoA)	RHTO_05407 or RHTO_04298 or RHTO_02534	Fatty acid degradation (mitochondrial)	
NAD[m] + (R)-3-hydroxydecanoyl-CoA[m] <=> H+[m] + NADH[m] + 3-oxodecanoyl-CoA[m]	3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA)	RHTO_05520	Fatty acid degradation (mitochondrial)	
NAD[m] + (R)-3-hydroxylauroyl-CoA[m] <=> H+[m] + NADH[m] + 3-oxolauroyl-CoA[m]	3-hydroxyacyl-CoA dehydrogenase (3-oxododecanoyl-CoA)	RHTO_05521	Fatty acid degradation (mitochondrial)	
NAD[m] + (S)-3-hydroxypalmitoyl-CoA[m] <=> H+[m] + NADH[m] + 3-oxopalmitoyl-CoA[m]	3-hydroxyacyl-CoA dehydrogenase (3-oxohexadecanoyl-CoA)	RHTO_05522	Fatty acid degradation (mitochondrial)	
NAD[m] + 3-hydroxyoctadecanoyl-CoA[m] <=> H+[m] + NADH[m] + 3-oxooctadecanoyl-CoA[m]	3-hydroxyacyl-CoA dehydrogenase (3-oxooctadecanoyl-CoA)	RHTO_05523	Fatty acid degradation (mitochondrial)	
NAD[m] + (S)-3-hydroxyhexacosanoyl-CoA[m] <=> H+[m] + NADH[m] + 3-oxohexacosanoyl-CoA[m]	3-hydroxyacyl-CoA dehydrogenase (3-oxohexacosanoyl-CoA)	RHTO_05524	Fatty acid degradation (mitochondrial)	
NAD[m] + (R)-3-hydroxybutanoyl-CoA[m] <=> acetoacetyl-CoA[m] + H+[m] + NADH[m]	3-hydroxyacyl-CoA dehydrogenase (3-oxobutanoyl-CoA)	RHTO_05525	Fatty acid degradation (mitochondrial)	
NAD[m] + (R)-3-hydroxyhexanoyl-CoA[m] <=> H+[m] + NADH[m] + 3-oxohexanoyl-CoA[m]	3-hydroxyacyl-CoA dehydrogenase (3-oxohexanoyl-CoA)	RHTO_05526	Fatty acid degradation (mitochondrial)	
NAD[m] + (R)-3-hydroxyoctanoyl-CoA[m] <=> H+[m] + NADH[m] + 3-oxooctanoyl-CoA[m]	3-hydroxyacyl-CoA dehydrogenase (3-oxooctanoyl-CoA)	RHTO_05527	Fatty acid degradation (mitochondrial)	
NAD[m] + (R)-3-hydroxyicosanoyl-CoA[m] <=> H+[m] + NADH[m] + 3-oxoicosanoyl-CoA[m]	3-hydroxyacyl-CoA dehydrogenase (3-oxoicosanoyl-CoA)	RHTO_05528	Fatty acid degradation (mitochondrial)	
NAD[m] + (R)-3-hydroxydocosanoyl-CoA[m] <=> H+[m] + NADH[m] + 3-oxodocosanoyl-CoA[m]	3-hydroxyacyl-CoA dehydrogenase (3-oxodocosanoyl-CoA)	RHTO_05529	Fatty acid degradation (mitochondrial)	
NAD[m] + (R)-3-hydroxytetracosanoyl-CoA[m] <=> H+[m] + NADH[m] + 3-oxotetracosanoyl-CoA[m]	3-hydroxyacyl-CoA dehydrogenase (3-oxotetracosanoyl-CoA)	RHTO_05530	Fatty acid degradation (mitochondrial)	
NAD[m] + (R)-3-hydroxy-cis-hexadec-9-enoyl-CoA[m] <=> H+[m] + NADH[m] + 3-oxo-cis-hexadec-9-enoyl-CoA[m]	3-hydroxyacyl-CoA dehydrogenase (3-oxo-cis-hexadec-9-enoyl-CoA)	RHTO_05531	Fatty acid degradation (mitochondrial)	
NAD[m] + (R)-3-hydroxy-cis-tetradec-7-enoyl-CoA[m] <=> H+[m] + NADH[m] + 3-oxo-cis-tetradec-7-enoyl-CoA[m]	3-hydroxyacyl-CoA dehydrogenase (3-oxo-cis-tetradec-7-enoyl-CoA)	RHTO_05532	Fatty acid degradation (mitochondrial)	
NAD[m] + (R)-3-hydroxy-cis-dodec-5-enoyl-CoA[m] <=> H+[m] + NADH[m] + 3-oxo-cis-dodec-5-enoyl-CoA[m]	3-hydroxyacyl-CoA dehydrogenase (3-oxo-cis-dodec-5-enoyl-CoA)	RHTO_05533	Fatty acid degradation (mitochondrial)	
NAD[m] + (R)-3-hydroxy-cis-octadec-9-enoyl-CoA[m] <=> H+[m] + NADH[m] + 3-oxo-cis-octadec-9-enoyl-CoA[m]	3-hydroxyacyl-CoA dehydrogenase (3-oxo-cis-octadec-9-enoyl-CoA)	RHTO_05534	Fatty acid degradation (mitochondrial)	
NAD[m] + (R)-3-hydroxy-cis-hexadec-7-enoyl-CoA[m] <=> H+[m] + NADH[m] + 3-oxo-cis-hexadec-7-enoyl-CoA[m]	3-hydroxyacyl-CoA dehydrogenase (3-oxo-cis-hexadec-7-enoyl-CoA)	RHTO_05535	Fatty acid degradation (mitochondrial)	
NAD[m] + (R)-3-hydroxy-cis-tetradec-5-enoyl-CoA[m] <=> H+[m] + NADH[m] + 3-oxo-cis-tetradec-5-enoyl-CoA[m]	3-hydroxyacyl-CoA dehydrogenase (3-oxo-cis-tetradec-5-enoyl-CoA)	RHTO_05536	Fatty acid degradation (mitochondrial)	
acetoacetyl-CoA[m] + coenzyme A[m] <=> 2 acetyl-CoA[m]	acetyl-CoA C-acyltransferase (acetyl-CoA)	RHTO_00481	Fatty acid degradation (mitochondrial)	
coenzyme A[m] + 3-oxohexanoyl-CoA[m] <=> acetyl-CoA[m] + butanoyl-CoA[m]	acetyl-CoA C-acyltransferase (butanoyl-CoA)	RHTO_00482	Fatty acid degradation (mitochondrial)	
coenzyme A[m] + 3-oxooctanoyl-CoA[m] <=> acetyl-CoA[m] + hexanoyl-CoA[m]	acetyl-CoA C-acyltransferase (hexanoyl-CoA)	RHTO_00483	Fatty acid degradation (mitochondrial)	
coenzyme A[m] + 3-oxoicosanoyl-CoA[m] <=> acetyl-CoA[m] + stearoyl-CoA[m]	acetyl-CoA C-acyltransferase (stearoyl-CoA)	RHTO_00484	Fatty acid degradation (mitochondrial)	
coenzyme A[m] + 3-oxodocosanoyl-CoA[m] <=> acetyl-CoA[m] + icosanoyl-CoA[m]	acetyl-CoA C-acyltransferase (icosanoyl-CoA)	RHTO_00485	Fatty acid degradation (mitochondrial)	
coenzyme A[m] + 3-oxotetracosanoyl-CoA[m] <=> acetyl-CoA[m] + docosanoyl-CoA[m]	acetyl-CoA C-acyltransferase (docosanoyl-CoA)	RHTO_00486	Fatty acid degradation (mitochondrial)	
coenzyme A[m] + 3-oxo-cis-hexadec-9-enoyl-CoA[m] <=> acetyl-CoA[m] + cis-tetradec-7-enoyl-CoA[m]	acetyl-CoA C-acyltransferase (cis-tetradec-7-enoyl-CoA)	RHTO_00487	Fatty acid degradation (mitochondrial)	
coenzyme A[m] + 3-oxo-cis-tetradec-7-enoyl-CoA[m] <=> acetyl-CoA[m] + cis-dodec-5-enoyl-CoA[m]	acetyl-CoA C-acyltransferase (cis-dodec-5-enoyl-CoA)	RHTO_00488	Fatty acid degradation (mitochondrial)	
coenzyme A[m] + 3-oxo-cis-dodec-5-enoyl-CoA[m] <=> acetyl-CoA[m] + cis-dec-3-enoyl-CoA[m]	acetyl-CoA C-acyltransferase (cis-dec-3-enoyl-CoA)	RHTO_00489	Fatty acid degradation (mitochondrial)	
coenzyme A[m] + 3-oxo-cis-octadec-9-enoyl-CoA[m] <=> acetyl-CoA[m] + cis-hexadec-7-enoyl-CoA[m]	acetyl-CoA C-acyltransferase (cis-hexadec-7-enoyl-CoA)	RHTO_00490	Fatty acid degradation (mitochondrial)	
coenzyme A[m] + 3-oxo-cis-hexadec-7-enoyl-CoA[m] <=> acetyl-CoA[m] + cis-tetradec-5-enoyl-CoA[m]	acetyl-CoA C-acyltransferase (cis-tetradec-5-enoyl-CoA)	RHTO_00491	Fatty acid degradation (mitochondrial)	
coenzyme A[m] + 3-oxo-cis-tetradec-5-enoyl-CoA[m] <=> acetyl-CoA[m] + cis-dodec-3-enoyl-CoA[m]	acetyl-CoA C-acyltransferase (cis-dodec-3-enoyl-CoA)	RHTO_00492	Fatty acid degradation (mitochondrial)	
8 coenzyme A[p] + 8 H2O[p] + 8 NAD[p] + 6 oxygen[p] + octadec-9-ynoyl-CoA[p] => 9 acetyl-CoA[p] + 8 H+[p] + 8 NADH[p] + 6 hydrogen peroxide[p]	fatty acid oxidation (C18:2)	RHTO_03890		
ATP[c] + citrate[c] + coenzyme A[c] => acetyl-CoA[c] + ADP[c] + oxaloacetate[c] + phosphate[c]	ATP-citrate lyase	RHTO_03915		
