r_0005	RHTO_05280
r_0028	RHTO_06409
r_0029	RHTO_05760
r_0030	RHTO_08045
r_0057	RHTO_06581
r_0103	RHTO_02048
r_0103	RHTO_02048
r_0104	RHTO_02048
r_0104	RHTO_02048
r_0148	RHTO_03117 or RHTO_04701
r_0149	RHTO_02749
r_0150	RHTO_02749
r_0154	RHTO0S_04e07514g or RHTO_02079
r_0163	RHTO_03062
r_0190	RHTO_00639
r_0191	RHTO_01350 or RHTO_01732
r_0214	RHTO_04703 or RHTO_05549
r_0216	RHTO_00425
r_0218	RHTO_00425
r_0234	RHTO_05176
r_0235	RHTO_05176
r_0300	RHTO_06406
r_0301	RHTO_07345
r_0321	RHTO_00641
r_0356	RHTO_07773
r_0373	RHTO_02504
r_0469	RHTO_01440
r_0479	RHTO_03621
r_0536	RHTO_00518
r_0541	RHTO_05715
r_0546	RHTO_05802
r_0547	RHTO_05802
r_0549	RHTO_04917
r_0555	RHTO_02858
r_0663	RHTO_05760
r_0664	RHTO_08045
r_0676	RHTO_06919
r_0679	RHTO_07901
r_0681	RHTO_00425
r_0683	RHTO_00425
r_0690	RHTO_06919
r_0691	RHTO_01970
r_0699	RHTO_05760
r_0700	RHTO_08045
r_0713	RHTO_04363
r_0714	RHTO_03745
r_0715	RHTO_03745
r_0722	RHTO_02463
r_0773	RHTO_00388
r_0831	RHTO_02312 and RHTO_07893 and RHTO_07860
r_0832	RHTO_02312 and RHTO_07893 and RHTO_07860
r_0851	RHTO_00143 or RHTO_07034
r_0909	RHTO_00514
r_0910	RHTO_00514
r_0961	RHTO_07250 and RHTO_01852 and RHTO_07893 and RHTO_01754 and RHTO_03543
r_0989	RHTO_04540
r_1023	RHTO_02062
r_1028	RHTO_05437
r_1029	RHTO_01986 or RHTO_06905
r_1029	RHTO_01986 or RHTO_06905
r_1056	RHTO_00143 or RHTO_07034
r_1063	RHTO_00143 or RHTO_07034
r_1065	RHTO_00425
r_1070	RHTO_00391
r_1074	RHTO_01067
r_1075	RHTO_01350 or RHTO_01732
r_1087	RHTO_05760
r_1088	RHTO_08045
r_1092	RHTO_01970
r_1093	RHTO_03963
r_1106	RHTO_07127
r_1113	RHTO_02354 or RHTO_02355
r_1118	RHTO_04513
r_1194	RHTO_04513
r_1226	RHTO_06493
r_1241	RHTO_04753
r_1257	RHTO_01079 or RHTO_02350
r_1264	RHTO_06493
r_2079	RHTO_00228
r_2140	RHTO_02032 and RHTO_02139
r_2141	RHTO_02032 and RHTO_02139
r_2222	RHTO_06195 and RHTO_04105
r_2248	RHTO_06581
r_2249	RHTO_06581
r_2250	RHTO_06581
r_2251	RHTO_06581
r_2252	RHTO_06581
r_2253	RHTO_06581
r_2254	RHTO_06581
r_2255	RHTO_06581
r_2256	RHTO_06581
r_2257	RHTO_06581
r_2258	RHTO_06581
r_2259	RHTO_06581
r_2260	RHTO_06581
r_2261	RHTO_06581
r_2262	RHTO_06581
r_2263	RHTO_06581
r_2264	RHTO_06581
r_2265	RHTO_06581
r_2266	RHTO_06581
r_2267	RHTO_06581
r_2268	RHTO_06581
r_2269	RHTO_06581
r_2270	RHTO_06581
r_2271	RHTO_06581
r_2272	RHTO_06581
r_2273	RHTO_06581
r_2274	RHTO_06581
r_2275	RHTO_06581
r_2276	RHTO_06581
r_2277	RHTO_06581
r_2278	RHTO_06581
r_2279	RHTO_06581
r_2280	RHTO_06581
r_2281	RHTO_06581
r_2282	RHTO_06581
r_2353	RHTO_05653
r_2357	RHTO_05653
r_2484	RHTO_01587
r_2486	RHTO_01587
r_2840	RHTO_04987 and RHTO_03971
r_2842	RHTO_04987 and RHTO_03971
r_2848	RHTO_03971
r_2850	RHTO_03971
r_3108	RHTO_05769
r_3110	RHTO_05769
r_3172	RHTO_06596
r_3174	RHTO_06596
r_3244	RHTO_05653
r_3246	RHTO_05653
r_4174	RHTO_00266
r_4198	RHTO_00459
r_4221	RHTO_01970
r_4249	RHTO_06139
r_4291	RHTO0S_21e01882g
r_4292	RHTO0S_21e01882g
r_4293	RHTO0S_21e01882g
r_4294	RHTO0S_21e01882g
r_4295	RHTO0S_21e01882g
r_4296	RHTO0S_21e01882g
r_4297	RHTO0S_21e01882g
r_4298	RHTO0S_21e01882g
r_4299	RHTO0S_21e01882g
r_4300	RHTO0S_21e01882g
r_4301	RHTO0S_21e01882g
r_4302	RHTO0S_21e01882g
r_4303	RHTO0S_21e01882g
r_4304	RHTO0S_21e01882g
r_4305	RHTO0S_21e01882g
r_4306	RHTO0S_21e01882g
r_4307	RHTO0S_21e01882g
r_4337	RHTO_02395
y200002	RHTO_00373
y300014	RHTO_06195 and RHTO_04105
y300048	RHTO_01732
y300052	RHTO_07860 and RHTO_02312 and RHTO_07893
r_0438	COX1 and COX2 and COX3 and RHTO_00755 and RHTO_05208 and RHTO_04577 and RHTO_01605 and RHTO_03666 and RHTO_01854 and RHTO_06415 and RHTO_06298 and RHTO_04910
