rxnID	reactionName	mean_A120	mean_A100	mean_A80	mean_A60	mean_G120	mean_G100	mean_G80	mean_G60	mean_X120	mean_X100	mean_X80	mean_X60	std_A120	std_A100	std_A80	std_A60	std_G120	std_G100	std_G80	std_G60	std_X120	std_X100	std_X80	std_X60
r_1547	(R)-mevalonate exchange	1.560877e-05	1.062797e-03	2.482941e-04	2.507484e-04	1.253445e-04	1.121769e-03	6.924600e-04	3.118138e-03	3.965069e-06	2.965332e-05	4.112611e-04	7.506154e-04	2.853220e-04	6.761803e-03	3.453920e-03	3.328746e-03	1.895384e-03	1.511728e-02	1.147027e-02	3.381537e-02	4.175130e-05	3.438408e-04	6.137006e-03	9.304339e-03
r_1548	(R)-pantothenate exchange	1.664084e-05	1.706764e-04	1.996496e-04	2.454537e-04	6.082720e-05	7.538852e-04	5.627531e-04	1.772000e-03	1.305571e-06	1.970089e-05	1.607929e-04	4.369909e-04	1.596566e-04	1.440597e-03	1.966916e-03	2.316165e-03	6.114913e-04	1.042102e-02	5.107101e-03	2.601217e-02	1.205270e-05	1.903543e-04	1.473348e-03	4.005444e-03
r_1549	(R,R)-2,3-butanediol exchange	2.301631e-05	2.097689e-04	2.353926e-04	1.625003e-04	1.161626e-04	1.761888e-03	6.198723e-04	4.034644e-03	4.012344e-06	2.784326e-05	3.433378e-04	2.465889e-04	3.481324e-04	4.068002e-03	3.730438e-03	2.982660e-03	1.993910e-03	1.748391e-02	1.200154e-02	4.309965e-02	4.396452e-05	3.884837e-04	6.070005e-03	5.837658e-03
r_1550	(S)-3-methyl-2-oxopentanoate exchange	3.033565e-05	5.201009e-04	1.327657e-04	3.015047e-04	1.964876e-04	1.119311e-03	1.114880e-03	5.994125e-04	1.926410e-06	6.810650e-06	7.499255e-04	7.178898e-04	3.550775e-04	5.710588e-03	2.345049e-03	3.440557e-03	2.411447e-03	1.349110e-02	1.400218e-02	1.621107e-02	3.013732e-05	1.673783e-04	8.411652e-03	9.417426e-03
r_1552	(S)-malate exchange	2.591849e-05	1.193087e-04	5.910537e-05	2.010448e-05	9.737205e-05	1.675135e-04	1.276262e-03	5.358455e-04	6.466963e-07	1.165354e-05	3.432080e-04	6.228631e-04	8.192868e-04	4.938575e-03	2.434710e-03	1.421601e-03	3.441642e-03	8.374836e-03	3.471329e-02	2.187143e-02	2.639599e-05	3.373650e-04	1.400860e-02	2.112311e-02
r_1572	2-isopropylmalate exchange	2.293270e-05	1.297849e-03	1.053999e-04	7.098678e-05	1.028526e-04	3.557346e-04	6.442927e-04	7.171523e-04	1.130068e-06	1.924633e-05	3.105173e-04	4.859602e-04	3.353403e-04	8.681642e-03	2.120074e-03	1.652256e-03	1.635631e-03	8.458162e-03	1.114626e-02	1.685662e-02	2.021913e-05	2.650589e-04	5.160965e-03	7.004131e-03
r_1577	2-methylbutanal exchange	6.729952e-06	3.434975e-05	1.262836e-04	8.300609e-05	3.447450e-05	3.982260e-04	1.725836e-04	6.668262e-04	4.554839e-06	4.514462e-05	1.467216e-04	2.006153e-04	1.585090e-04	1.382388e-03	2.315587e-03	1.788035e-03	9.272285e-04	8.364845e-03	5.035547e-03	1.619886e-02	4.835472e-05	4.761717e-04	3.455515e-03	4.511369e-03
r_1580	2-methylbutanol exchange	9.514052e-06	2.122302e-04	1.205730e-04	8.531699e-05	8.071478e-05	9.451012e-04	6.978979e-04	1.773237e-03	2.142125e-06	2.274419e-05	2.812813e-04	3.061539e-04	1.767208e-04	3.245799e-03	2.183087e-03	1.740339e-03	1.346410e-03	1.238984e-02	9.521468e-03	2.496267e-02	3.249083e-05	3.451795e-04	4.442515e-03	5.225846e-03
r_1586	2-oxoglutarate exchange	1.105834e-05	1.654210e-03	1.002603e-04	1.092799e-04	8.140118e-05	3.349968e-04	1.252516e-03	1.446813e-04	1.622947e-06	9.020899e-06	5.934671e-04	8.040602e-04	3.828966e-04	1.182830e-02	2.441094e-03	2.635722e-03	2.573101e-03	9.665686e-03	2.520758e-02	1.023051e-02	3.524559e-05	2.561418e-04	1.288498e-02	1.781987e-02
r_1598	3-methylbutanal exchange	1.161722e-05	2.297354e-04	1.807552e-04	2.524998e-04	6.890894e-05	6.310686e-04	4.126375e-04	3.898357e-04	1.575000e-05	1.212429e-04	2.294542e-04	3.578909e-04	2.092280e-04	3.617474e-03	2.927797e-03	3.277229e-03	1.335640e-03	1.089574e-02	7.855775e-03	1.233273e-02	7.312517e-05	6.106245e-04	4.281442e-03	5.749736e-03
