rxnID	reactionName	mean_A120	mean_A100	mean_A80	mean_A60	mean_G120	mean_G100	mean_G80	mean_G60	mean_X120	mean_X100	mean_X80	mean_X60	std_A120	std_A100	std_A80	std_A60	std_G120	std_G100	std_G80	std_G60	std_X120	std_X100	std_X80	std_X60
r_1604	4-aminobenzoate exchange	8.411022e-06	4.471001e-05	1.373398e-04	1.908341e-04	3.971468e-05	2.010162e-04	3.987158e-04	6.628248e-04	3.601173e-07	7.433114e-06	5.760243e-05	1.973345e-04	1.141615e-04	7.438994e-04	1.632830e-03	2.073615e-03	4.948927e-04	5.021884e-03	4.297460e-03	1.411733e-02	6.356499e-06	1.173045e-04	8.870455e-04	2.696871e-03
r_1630	9H-xanthine exchange	2.641092e-06	4.963998e-06	1.368721e-05	1.021331e-05	5.308764e-06	1.436982e-04	2.113108e-05	1.514887e-04	7.852822e-08	1.526687e-06	2.467241e-05	5.001329e-05	3.192226e-05	1.240132e-04	2.583279e-04	2.405377e-04	9.027738e-05	2.404770e-03	4.976660e-04	4.935350e-03	1.482138e-06	2.637796e-05	2.897467e-04	6.257251e-04
r_1631	acetaldehyde exchange	1.797437e-05	7.550966e-04	1.600619e-04	2.130117e-04	1.217134e-04	5.668214e-03	2.364437e-03	5.243821e-03	2.481983e-04	1.189348e-03	1.289525e-04	1.640413e-04	4.800969e-04	1.015553e-02	4.618283e-03	5.075298e-03	3.079616e-03	5.112453e-02	3.568620e-02	7.193637e-02	4.679464e-04	3.125931e-03	5.542626e-03	7.106639e-03
r_1634	acetate exchange	-5.181573e-01	-3.101117e+00	-4.362979e+00	-4.024378e+00	0	0	0	0	0	0	0	0	7.422982e-03	3.052907e-02	4.885975e-02	5.220010e-02	0	0	0	0	0	0	0	0
r_1641	adenosine 3',5'-bismonophosphate exchange	2.491679e-07	1.491468e-06	4.694819e-06	2.726341e-06	4.970580e-07	2.627458e-05	9.388931e-06	9.666424e-05	9.020509e-09	2.226947e-07	1.096493e-06	4.486942e-06	8.806775e-06	6.087676e-05	1.354602e-04	1.112802e-04	2.485041e-05	1.072540e-03	2.967854e-04	3.420653e-03	4.509803e-07	9.089684e-06	5.481921e-05	1.831420e-04
r_1650	alpha,alpha-trehalose exchange	9.157842e-07	4.249474e-05	1.769024e-05	8.947172e-06	1.472199e-05	2.776720e-04	1.459199e-04	3.508665e-04	1.655281e-07	4.409193e-06	1.448956e-05	6.600617e-05	4.601268e-05	1.226629e-03	6.283142e-04	4.473304e-04	5.289689e-04	5.788331e-03	4.210675e-03	1.012358e-02	6.828063e-06	1.135023e-04	1.024567e-03	2.364499e-03
r_1651	alpha-D-glucosamine 6-phosphate exchange	6.227016e-07	2.733099e-05	5.088870e-05	5.452294e-05	7.447414e-06	2.594172e-04	7.513578e-05	6.045081e-04	1.578045e-07	5.574673e-06	3.292278e-05	8.225657e-05	3.113198e-05	5.821159e-04	9.968119e-04	1.111720e-03	2.148812e-04	6.374234e-03	1.877081e-03	1.614816e-02	4.214974e-06	1.016367e-04	6.712938e-04	1.751961e-03
r_1654	ammonium exchange	-3.048528e-02	-2.437086e-01	-3.838084e-01	-4.460465e-01	-1.220928e-01	-9.753253e-01	-9.236356e-01	-5.683599e+00	-2.193800e-03	-3.647720e-02	-2.700353e-01	-4.460826e-01	6.310583e-04	5.005882e-03	7.738392e-03	9.032702e-03	2.655638e-03	1.632280e-02	1.929422e-02	1.017676e-01	4.691550e-05	7.825115e-04	5.964401e-03	8.702983e-03
r_1672	carbon dioxide exchange	2.644164e-01	2.827666e+00	4.735206e+00	3.564171e+00	8.277451e-01	2.364794e+00	1.915958e+00	3.067519e+00	3.995509e-02	3.992322e-01	2.549870e+00	3.164946e+00	6.569835e-04	1.438361e-02	2.666553e-02	2.203582e-02	2.390980e-03	2.323932e-02	2.642796e-03	3.338361e-02	5.471779e-04	4.811790e-03	6.068851e-03	6.176601e-03
r_1683	choline exchange	4.904700e-05	3.759017e-04	5.953768e-04	7.780072e-04	2.020709e-04	2.491963e-03	1.525607e-03	6.134961e-03	2.379385e-06	4.874773e-05	4.228513e-04	1.116250e-03	2.713812e-04	2.088555e-03	3.335432e-03	4.108542e-03	1.098623e-03	1.291835e-02	8.265421e-03	3.351317e-02	1.518149e-05	2.803629e-04	2.314434e-03	6.281208e-03
r_1687	citrate(3-) exchange	2.292194e-05	1.409911e-04	7.240524e-05	1.627853e-04	1.535827e-04	2.741129e-04	1.139818e-03	7.231064e-04	8.218004e-07	1.412995e-05	3.657099e-04	5.184315e-04	6.328727e-04	4.444043e-03	2.288738e-03	3.234130e-03	3.486303e-03	7.909001e-03	2.684450e-02	2.086384e-02	2.374099e-05	3.021195e-04	1.156353e-02	1.560796e-02
r_1718	D-xylose exchange	0	0	0	0	0	0	0	0	-1.767139e-02	-1.684214e-01	-2.658616e+00	-3.539316e+00	0	0	0	0	0	0	0	0	1.642481e-05	2.651514e-04	4.907732e-03	4.075342e-03
r_1727	decanoate exchange	2.347565e-06	5.957894e-04	3.617459e-05	3.145554e-05	2.243186e-05	9.241938e-04	1.046291e-04	1.793838e-03	6.526231e-06	5.873250e-05	8.931524e-06	9.220465e-05	5.707094e-05	3.036798e-03	8.058713e-04	6.829031e-04	4.404953e-04	5.224130e-03	2.091593e-03	9.763991e-03	3.391819e-05	3.029133e-04	4.534327e-04	1.740355e-03
r_1749	dTTP exchange	8.864179e-06	4.844970e-05	7.044658e-05	1.140588e-04	2.794267e-05	5.847684e-04	2.301595e-04	1.279791e-03	5.517205e-07	6.135679e-06	6.294671e-05	1.838295e-04	8.255629e-05	5.464887e-04	8.273106e-04	1.130725e-03	2.932428e-04	5.891581e-03	2.313774e-03	1.401228e-02	5.546431e-06	7.528289e-05	6.534033e-04	1.831069e-03
r_1753	episterol exchange	1.203243e-06	1.491256e-05	1.582171e-05	5.665023e-06	8.895135e-06	1.981013e-05	4.688617e-05	4.922486e-05	2.920616e-07	1.946653e-06	2.509674e-05	2.523714e-05	2.077503e-05	2.631087e-04	2.963838e-04	1.471749e-04	1.464925e-04	4.665831e-04	7.095715e-04	1.159312e-03	4.770620e-06	3.661225e-05	4.459833e-04	4.970708e-04
r_1757	ergosterol exchange	6.115828e-07	5.304889e-06	1.343830e-05	1.093779e-05	7.608763e-06	2.351830e-05	2.278865e-05	3.521384e-05	1.943233e-07	2.208026e-06	1.619860e-05	3.311012e-05	1.513113e-05	1.525355e-04	2.651147e-04	2.122082e-04	1.410135e-04	4.411422e-04	5.246085e-04	9.405645e-04	3.840552e-06	4.008583e-05	3.623318e-04	5.841800e-04
r_1761	ethanol exchange	1.881858e-06	2.900192e-04	1.655724e-04	1.844709e-04	8.020350e-05	8.035446e-02	6.745674e-04	8.035253e-03	4.201129e-05	2.673186e-04	1.118867e-04	1.741450e-04	1.330675e-04	5.954123e-03	4.224772e-03	4.141381e-03	2.149544e-03	7.314044e-02	1.589447e-02	6.098234e-02	1.633838e-04	1.276111e-03	4.566843e-03	5.969816e-03
r_1788	fecosterol exchange	2.665054e-07	4.345046e-06	2.392360e-06	1.650992e-06	3.311104e-06	4.417257e-06	5.431106e-06	1.093887e-05	4.813098e-08	1.630911e-07	3.483745e-06	6.638553e-06	1.087786e-05	1.565254e-04	1.198039e-04	8.419035e-05	9.668594e-05	2.208408e-04	2.716036e-04	5.468886e-04	1.973215e-06	1.153228e-05	1.741698e-04	2.711379e-04
r_1793	formate exchange	5.938728e-03	1.865291e-02	2.322247e-03	5.591806e-03	2.495575e-02	1.021358e-02	1.962985e-01	5.781503e-02	2.515982e-05	3.541021e-04	5.768281e-02	8.910844e-02	2.016461e-03	2.901672e-02	1.101091e-02	1.716236e-02	7.876973e-03	5.045185e-02	5.391192e-02	1.696871e-01	1.025898e-04	1.405680e-03	2.264917e-02	3.362122e-02
r_1798	fumarate(2-) exchange	2.234436e-05	3.709955e-04	2.009013e-04	1.177564e-04	1.703072e-04	8.359928e-04	1.139889e-03	1.067976e-03	2.477049e-06	1.370969e-05	1.801542e-03	1.639136e-03	7.388613e-04	8.299951e-03	4.611557e-03	3.402684e-03	4.548994e-03	1.753861e-02	3.298974e-02	3.081461e-02	5.057630e-05	3.672883e-04	2.646367e-02	2.585355e-02
r_1808	glycerol exchange	0	0	0	0	-1.028439e+00	-5.195298e+00	-6.441841e+00	-1.342457e+01	0	0	0	0	0	0	0	0	1.005156e-03	1.193624e-01	9.694151e-03	1.618437e-01	0	0	0	0
r_1810	glycine exchange	1.867993e-06	1.987049e-05	1.062356e-05	4.539057e-05	3.219919e-05	7.465118e-03	2.379629e-04	8.572219e-02	2.828614e-07	1.975948e-06	2.466283e-05	4.408380e-04	5.383484e-05	4.961434e-04	4.370418e-04	1.014000e-03	4.448067e-04	3.141090e-02	3.248554e-03	2.075167e-01	5.495958e-06	5.871325e-05	5.805582e-04	3.090910e-03
r_1815	glyoxylate exchange	1.720897e-01	8.433956e-03	5.261483e-04	2.105745e-04	1.984621e-01	4.500216e-03	2.383550e-01	3.019050e-03	8.014867e-06	1.081406e-04	5.117369e-01	3.323426e-01	2.338471e-02	3.186963e-02	7.936700e-03	3.529113e-03	8.111292e-02	2.601008e-02	1.266331e-01	5.264015e-02	9.022355e-05	1.002264e-03	2.754969e-01	3.509194e-01
r_1818	guanine exchange	4.356902e-07	2.484206e-06	1.572625e-06	6.857226e-06	1.546349e-06	2.703015e-05	8.342162e-06	2.464497e-04	1.353477e-08	3.716203e-07	6.566967e-06	2.305660e-05	1.161759e-05	7.852612e-05	7.834331e-05	1.733184e-04	4.291585e-05	1.006370e-03	2.718972e-04	6.286280e-03	5.518451e-07	1.174606e-05	1.338944e-04	3.264092e-04
r_1832	H+ exchange	-3.031716e-01	-2.726179e+00	-4.168059e+00	-3.804402e+00	1.416648e-01	3.980565e-01	2.273958e+00	7.448982e+00	4.153610e-04	6.006247e-03	2.155285e+00	2.213401e+00	6.456082e-03	6.422415e-02	9.079491e-02	6.816994e-02	1.315773e-01	3.896902e-01	5.562039e-01	7.894347e-01	1.232579e-03	1.151627e-02	3.309337e-01	3.792138e-01
r_1841	hypoxanthine exchange	1.469809e-06	2.247452e-05	2.975609e-05	4.169054e-05	1.270770e-05	1.638402e-04	7.275790e-05	1.386811e-03	1.688800e-07	2.415933e-06	1.781046e-05	5.068594e-05	2.380560e-05	2.624821e-04	3.789851e-04	4.828050e-04	1.397710e-04	2.527104e-03	9.212503e-04	1.534192e-02	2.173904e-06	3.341912e-05	2.463671e-04	6.227751e-04
r_1843	indol-3-ylacetaldehyde exchange	8.503243e-06	3.975831e-05	1.057422e-04	1.211455e-04	4.471514e-05	1.454870e-04	3.288922e-04	9.039265e-04	4.053581e-07	5.577499e-06	7.407358e-05	1.495081e-04	1.141358e-04	7.015485e-04	1.435222e-03	1.638930e-03	5.251252e-04	3.450191e-03	3.917624e-03	1.303985e-02	6.744498e-06	1.016881e-04	1.005390e-03	2.359435e-03
r_1861	iron(2+) exchange	-7.644288e-09	-6.063646e-08	-8.412898e-08	-9.953172e-08	-3.031860e-08	-1.584572e-07	-1.740537e-07	-2.279369e-07	-7.822001e-10	-6.846219e-09	-5.270989e-08	-8.798310e-08	8.815585e-11	7.365941e-10	1.057351e-09	1.213643e-09	3.689249e-10	1.960350e-09	2.053020e-09	2.880521e-09	9.120032e-12	8.349293e-11	6.320198e-10	9.974033e-10
r_1865	isoamylol exchange	1.126895e-05	3.401335e-04	1.499875e-04	1.825588e-04	9.577935e-05	5.844238e-04	4.359193e-04	1.733020e-03	2.792393e-06	3.704887e-05	2.821450e-04	2.724196e-04	1.850788e-04	4.193889e-03	2.500036e-03	2.612870e-03	1.483004e-03	9.872300e-03	8.075075e-03	2.524556e-02	3.526933e-05	4.172674e-04	4.583429e-03	5.028218e-03
r_1866	isobutanol exchange	1.617295e-05	3.070921e-04	1.949167e-04	2.281882e-04	1.246886e-04	1.300723e-03	1.057547e-03	3.020394e-03	4.858677e-06	5.147481e-05	3.483126e-04	7.643516e-04	2.727845e-04	4.752633e-03	3.267215e-03	3.358779e-03	1.922926e-03	1.536773e-02	1.464082e-02	3.945490e-02	5.412613e-05	5.461584e-04	5.807849e-03	9.851850e-03
r_1870	isobutyraldehyde exchange	4.966085e-05	3.845692e-04	7.710615e-04	4.282535e-04	4.211269e-04	2.034488e-03	2.700475e-03	1.298335e-03	2.017352e-05	1.684906e-04	1.171092e-03	1.094134e-03	4.486473e-04	4.922959e-03	6.574396e-03	4.504260e-03	3.536526e-03	1.907246e-02	2.311737e-02	2.697238e-02	1.076018e-04	8.991579e-04	1.098747e-02	1.132756e-02
r_1873	L-alanine exchange	1.557613e-06	1.748433e-05	2.739650e-05	1.363177e-05	6.204990e-06	1.388284e-01	6.410577e-05	3.798975e+00	1.109189e-06	1.997041e-05	3.015917e-05	5.077220e-05	4.923635e-05	4.641395e-04	7.317633e-04	5.564034e-04	1.961409e-04	6.323500e-02	1.715397e-03	4.435693e-01	1.017173e-05	1.832231e-04	6.421222e-04	9.779537e-04
r_1875	L-arabinitol exchange	0	0	0	0	0	0	0	0	2.340900e-05	1.609738e-04	5.792602e-04	6.157786e-04	0	0	0	0	0	0	0	0	9.483989e-05	6.711617e-04	7.478225e-03	9.609572e-03
r_1879	L-arginine exchange	3.110654e-07	2.489221e-06	1.958766e-06	5.699264e-06	1.552545e-06	4.420886e-05	2.347705e-05	2.882610e-04	3.946457e-08	4.648503e-07	6.857944e-06	5.607840e-06	1.099455e-05	8.785948e-05	9.792853e-05	1.794930e-04	4.907616e-05	1.562550e-03	5.244905e-04	9.112425e-03	1.054102e-06	1.469398e-05	1.532102e-04	2.288933e-04
r_1880	L-asparagine exchange	3.116259e-07	2.549717e-06	3.907745e-06	6.818228e-06	2.484532e-06	8.841296e-05	2.348103e-05	7.914620e-04	4.499309e-08	7.426008e-07	5.478783e-06	1.706190e-05	1.557973e-05	1.241403e-04	1.953683e-04	2.782638e-04	8.781513e-05	3.124932e-03	7.422389e-04	2.115558e-02	1.590276e-06	2.624711e-05	1.936367e-04	5.016727e-04
r_1881	L-aspartate exchange	1.871029e-06	1.247459e-05	3.913912e-06	4.544938e-06	1.612460e-05	1.098961e-03	1.720245e-04	2.674500e-02	1.576286e-07	1.859565e-06	3.437340e-05	6.369683e-04	5.382399e-05	3.926141e-04	2.767554e-04	3.213756e-04	3.158464e-04	1.403891e-02	2.804567e-03	1.269787e-01	4.210275e-06	5.878108e-05	6.782153e-04	3.200928e-03
r_1883	L-cysteine exchange	4.134600e-06	4.059171e-05	8.693747e-05	5.547144e-05	1.759031e-05	7.208260e-04	1.120760e-04	1.966965e-03	3.661695e-07	5.011391e-06	7.196556e-05	1.530049e-04	7.947744e-05	6.720513e-04	1.276787e-03	1.081918e-03	3.202255e-04	1.158523e-02	2.229119e-03	3.315697e-02	6.218930e-06	9.241092e-05	9.747292e-04	2.319677e-03
r_1889	L-glutamate exchange	1.556115e-06	9.936835e-06	2.351490e-05	3.180973e-05	2.483774e-06	3.094501e-04	6.578545e-05	2.184066e-03	4.044597e-07	9.286346e-06	1.644756e-05	6.161006e-05	4.918838e-05	3.510218e-04	6.778651e-04	8.495842e-04	1.241763e-04	8.265438e-03	1.757135e-03	4.322359e-02	6.729566e-06	1.310133e-04	4.745631e-04	1.499598e-03
r_1891	L-glutamine exchange	4.674388e-07	1.139304e-05	1.371678e-05	1.362200e-05	2.478359e-06	7.308042e-05	9.382531e-06	4.339945e-04	6.760012e-08	1.299986e-06	8.222482e-06	3.146119e-05	1.907929e-05	2.627923e-04	3.660525e-04	3.929530e-04	8.759701e-05	2.748462e-03	4.690803e-04	1.771421e-02	1.950472e-06	3.471840e-05	2.372441e-04	6.798617e-04
r_1893	L-histidine exchange	5.371209e-06	2.980773e-05	4.045346e-05	4.858320e-05	1.448265e-05	4.084399e-04	1.158725e-04	1.245097e-03	2.849369e-07	3.842995e-06	2.652516e-05	9.915724e-05	5.234207e-05	3.500558e-04	5.122047e-04	5.983699e-04	1.719449e-04	5.445784e-03	1.342132e-03	1.685699e-02	3.256357e-06	4.864913e-05	3.473126e-04	1.100540e-03
r_1896	L-homoserine transport	1.523631e-06	1.242156e-05	7.823861e-06	2.270517e-05	7.449998e-06	1.326142e-04	4.698740e-05	9.514747e-04	4.688892e-07	4.822556e-06	1.645976e-05	5.793309e-05	4.820831e-05	3.926162e-04	3.911543e-04	7.177140e-04	2.149555e-04	5.412868e-03	1.485278e-03	2.832508e-02	7.221385e-06	9.446475e-05	4.749148e-04	1.452587e-03
r_1897	L-isoleucine exchange	1.555615e-06	1.738053e-05	1.172974e-05	6.361710e-05	6.208698e-06	1.247260e-03	4.697181e-05	5.091297e-03	1.589000e-07	1.486170e-06	1.371358e-05	8.224614e-05	4.917344e-05	4.642360e-04	4.787692e-04	1.200686e-03	1.962579e-04	1.335364e-02	1.484785e-03	4.832612e-02	4.215006e-06	5.248049e-05	4.334882e-04	1.751739e-03
r_1899	L-leucine exchange	4.656928e-06	4.518381e-05	3.915221e-05	1.365528e-05	1.117189e-05	1.334622e-03	1.517320e-04	4.901990e-03	1.043161e-06	1.621342e-05	4.151656e-05	1.568384e-04	8.490495e-05	7.429241e-04	8.746825e-04	5.565282e-04	2.631137e-04	1.403689e-02	2.651442e-03	4.664479e-02	1.069470e-05	1.718663e-04	7.413431e-04	2.415224e-03
r_1900	L-lysine exchange	2.957994e-06	2.358137e-05	3.524913e-05	2.952610e-05	8.682726e-06	6.116468e-04	7.984345e-05	2.196966e-03	2.364449e-07	3.717665e-06	3.154696e-05	7.850930e-05	4.789859e-05	3.818518e-04	5.864859e-04	5.783592e-04	1.638751e-04	7.961447e-03	1.367111e-03	2.882950e-02	3.641130e-06	5.865047e-05	4.641101e-04	1.208999e-03
r_1902	L-methionine exchange	3.425634e-06	2.371217e-05	2.386981e-05	4.001869e-05	1.096353e-05	2.369403e-04	4.760457e-05	4.037098e-04	1.966762e-07	3.812126e-06	3.586428e-05	4.694258e-05	7.296170e-05	4.772909e-04	6.469253e-04	9.049552e-04	2.481198e-04	5.257500e-03	1.396358e-03	1.127103e-02	4.440502e-06	8.077857e-05	6.830467e-04	1.259999e-03
r_1903	L-phenylalanine exchange	1.243860e-06	2.979519e-05	3.133649e-05	3.316779e-05	7.451323e-06	4.967684e-04	7.517649e-05	4.029689e-04	2.928179e-07	4.089848e-06	8.233195e-06	7.474970e-05	4.396401e-05	6.075233e-04	7.828637e-04	8.545326e-04	2.149936e-04	8.929897e-03	1.878096e-03	1.162689e-02	5.735757e-06	8.710866e-05	3.360515e-04	1.669949e-03
r_1904	L-proline exchange	2.109729e-05	1.477676e-04	1.096197e-04	1.676999e-04	7.925502e-05	2.128031e-03	3.003697e-04	3.410777e-03	9.219666e-07	1.716011e-05	1.780552e-04	4.259021e-04	1.796925e-04	1.341880e-03	1.460893e-03	1.931732e-03	6.960970e-04	2.129876e-02	3.742966e-03	5.096161e-02	1.014068e-05	1.774482e-04	1.551621e-03	3.966535e-03
r_1906	L-serine exchange	1.245488e-06	1.987571e-05	2.347677e-05	2.270362e-05	8.683687e-06	1.099448e-03	3.839700e-04	7.902941e-03	8.504629e-07	1.556479e-05	1.643321e-05	3.136446e-04	4.402146e-05	4.965055e-04	6.773773e-04	7.176649e-04	2.315540e-04	1.401730e-02	4.223088e-03	9.592021e-02	9.700276e-06	1.690101e-04	4.740669e-04	2.793806e-03
r_1911	L-threonine exchange	1.557517e-06	1.737534e-05	3.524590e-05	3.634635e-05	1.117666e-05	1.768261e-04	6.070511e-05	1.330498e-03	1.574606e-07	1.859589e-06	1.920923e-05	1.495313e-05	4.923331e-05	4.640976e-04	8.300891e-04	9.080225e-04	2.632259e-04	6.249872e-03	1.654988e-03	3.368086e-02	4.205807e-06	5.878077e-05	5.130802e-04	7.475815e-04
r_1912	L-tryptophan exchange	6.232461e-07	6.208751e-06	0	4.543396e-06	2.485290e-06	5.072157e-04	1.876765e-05	7.018795e-04	4.503616e-08	9.291262e-07	1.225806e-05	1.869057e-05	2.202847e-05	1.962595e-04	0	2.271471e-04	8.784190e-05	6.600700e-03	6.633379e-04	1.215058e-02	1.591793e-06	2.936982e-05	2.887332e-04	5.908112e-04
r_1913	L-tyrosine exchange	3.113394e-06	3.230138e-05	3.914545e-05	4.089126e-05	9.928341e-06	1.253492e-03	1.596925e-04	1.941402e-03	2.703956e-07	8.177477e-06	5.486718e-05	6.729741e-05	6.955510e-05	6.327218e-04	8.745314e-04	9.630452e-04	2.480353e-04	1.430332e-02	2.734319e-03	2.645248e-02	5.513355e-06	1.230210e-04	8.658088e-04	1.584945e-03
r_1914	L-valine exchange	5.574874e-06	4.455116e-05	1.566967e-05	3.633166e-05	1.142408e-05	4.212378e-03	4.778265e-04	1.654350e-02	3.574128e-07	8.127688e-06	3.431425e-05	1.330662e-04	9.275686e-05	7.412581e-04	5.537386e-04	9.076558e-04	2.636288e-04	2.828451e-02	4.707470e-03	1.097871e-01	6.249730e-06	1.217873e-04	6.773148e-04	2.215766e-03
r_1915	lanosterol exchange	5.840506e-06	8.273716e-05	5.400573e-05	5.070875e-05	3.235012e-05	3.061007e-04	2.263228e-04	4.096419e-04	1.003988e-06	9.920428e-06	1.000756e-04	1.406353e-04	5.950775e-05	8.681070e-04	6.243172e-04	5.720759e-04	3.502198e-04	2.676057e-03	2.150241e-03	4.387876e-03	9.642516e-06	9.463108e-05	1.050105e-03	1.409174e-03
r_1987	ornithine exchange	6.232517e-07	1.117970e-05	7.956026e-06	2.016043e-05	1.858976e-06	1.546940e-04	5.634686e-05	5.498103e-03	6.784720e-08	7.443178e-07	5.482773e-06	1.461110e-05	2.202866e-05	2.630941e-04	2.769721e-04	4.160189e-04	7.587753e-05	4.131890e-03	1.148910e-03	6.488414e-02	1.947629e-06	2.627904e-05	1.937794e-04	5.168274e-04
r_1989	oxaloacetate(2-) exchange	9.649394e-03	9.572443e-03	1.202413e-04	2.001560e-04	8.179642e-02	1.397274e-03	3.808591e-01	7.308450e-04	1.840110e-06	1.729194e-05	9.145147e-01	9.860832e-01	1.446549e-02	2.172409e-02	2.924510e-03	3.879336e-03	5.117589e-02	1.929770e-02	1.589171e-01	2.353439e-02	3.576284e-05	4.016893e-04	2.071762e-01	2.693148e-01
r_1992	oxygen exchange	-3.611345e-01	-2.346266e+00	-4.002243e+00	-2.939953e+00	-1.372905e+00	-3.661877e+00	-5.568263e+00	-1.006489e+01	-2.863933e-02	-3.123032e-01	-3.633180e+00	-3.845642e+00	3.493313e-03	7.055900e-03	2.625649e-02	1.519206e-02	2.218851e-02	7.239818e-03	3.612650e-02	9.171180e-03	3.405951e-04	3.768555e-03	6.548797e-02	6.541443e-02
r_1993	palmitate exchange	1.640507e-06	2.758642e-05	1.493857e-05	2.116116e-05	5.146325e-06	6.147490e-05	3.881189e-05	1.383907e-04	2.929069e-07	2.368710e-06	3.085398e-05	5.348671e-06	4.376982e-05	5.337215e-04	3.685830e-04	3.811026e-04	1.834790e-04	1.479409e-03	1.226848e-03	2.952134e-03	6.196176e-06	5.267717e-05	7.771429e-04	3.782082e-04
