chain,FA,formula,MW,comp,GEavg,GEstd,GLavg,GLstd,XEavg,XEstd,XLavg,XLstd
16:0,palmitate,C16H32O2,256.42,c,0.173980827,0.000144051,0.259238729,0.002442505,0.181000314,0.025402567,0.268311618,0.002213151
18:0,stearate,C18H36O2,284.48,c,0.077278918,0.004796073,0.093714708,0.001866016,0.056090841,0.005784503,0.081721203,0.002784194
18:1,oleate,C18H34O2,282.46,c,0.374923943,0.013290364,0.475324386,0.006163266,0.467491121,0.030787585,0.456125686,0.005043902
18:2,linoleate,C18H32O2,280.44,c,0.238712886,0.007218557,0.116560293,0.005072422,0.205650446,0.042003428,0.13617401,0.006984829
18:3,linolenate,C18H30O2,278.43,c,0.114022735,0.009895138,0.029622592,0.002220177,0.057986673,0.019080846,0.027984775,0.001490886
