rxnID	reactionName	mean_A120	mean_A100	mean_A80	mean_A60	mean_G120	mean_G100	mean_G80	mean_G60	mean_X120	mean_X100	mean_X80	mean_X60	std_A120	std_A100	std_A80	std_A60	std_G120	std_G100	std_G80	std_G60	std_X120	std_X100	std_X80	std_X60
r_1547	(R)-mevalonate exchange	2.814833e-05	1.293026e-04	2.362981e-04	1.620295e-04	1.013117e-04	4.066699e-03	3.114782e-03	6.913549e-03	8.682643e-06	6.728610e-05	3.631973e-04	4.903384e-04	3.835379e-04	2.030732e-03	3.319369e-03	2.668434e-03	1.654519e-03	3.306984e-02	3.465357e-02	7.036881e-02	5.725785e-05	4.948546e-04	5.883012e-03	7.567709e-03
r_1548	(R)-pantothenate exchange	1.771952e-05	1.371217e-04	2.403340e-04	2.260768e-04	7.987792e-05	5.440647e-04	5.224665e-04	3.975573e-03	1.119404e-06	2.073714e-05	1.394315e-04	7.278001e-04	1.614437e-04	1.268502e-03	2.110847e-03	2.205552e-03	6.854709e-04	4.599784e-03	4.823249e-03	4.751344e-02	1.092857e-05	1.906270e-04	1.347217e-03	6.250051e-03
r_1549	(R,R)-2,3-butanediol exchange	1.194511e-05	8.576487e-05	2.219467e-04	1.711682e-04	7.594572e-05	5.242901e-03	1.665211e-03	5.056573e-03	4.847984e-06	3.670415e-05	3.312163e-04	3.723354e-04	2.544158e-04	1.851089e-03	3.628031e-03	3.120723e-03	1.618363e-03	2.718709e-02	2.916526e-02	7.290294e-02	5.221306e-05	4.268058e-04	6.040328e-03	7.174146e-03
r_1550	(S)-3-methyl-2-oxopentanoate exchange	2.888736e-05	2.152843e-04	2.729967e-04	3.129270e-04	2.396885e-04	2.443118e-03	2.920213e-03	5.793514e-03	6.371726e-06	4.794153e-05	8.408568e-04	8.834965e-04	3.481749e-04	2.495666e-03	3.394467e-03	3.449886e-03	2.631504e-03	2.548946e-02	3.352169e-02	6.320652e-02	5.469270e-05	4.765587e-04	9.172872e-03	1.071083e-02
r_1552	(S)-malate exchange	1.325915e-05	6.993824e-05	6.516153e-05	5.069601e-05	1.708514e-04	7.140331e-04	2.640823e-03	4.502717e-03	6.251677e-07	7.224875e-06	5.368984e-04	1.620122e-03	5.571738e-04	2.215145e-03	2.659676e-03	2.142411e-03	4.563455e-03	2.914445e-02	7.620764e-02	1.202679e-01	2.554753e-05	2.561629e-04	1.897653e-02	3.549477e-02
r_1572	2-isopropylmalate exchange	1.964611e-05	3.721279e-05	5.025916e-05	5.714493e-05	1.705385e-04	1.530551e-02	1.241861e-02	1.462430e-02	3.893220e-06	5.180278e-05	4.176416e-04	7.249679e-04	3.081007e-04	9.851321e-04	1.346760e-03	1.445835e-03	1.996076e-03	7.222378e-02	7.707441e-02	1.123179e-01	3.043687e-05	3.710816e-04	5.789708e-03	8.648757e-03
r_1577	2-methylbutanal exchange	8.595996e-06	1.012521e-04	1.323151e-04	1.219794e-04	3.206753e-05	6.616639e-04	7.940484e-04	1.161131e-03	1.428362e-06	8.638802e-06	1.547137e-04	1.937238e-04	1.761495e-04	1.731317e-03	2.420268e-03	2.022525e-03	8.924163e-04	1.296071e-02	1.619076e-02	2.710477e-02	2.732728e-05	2.155678e-04	3.643734e-03	4.600536e-03
r_1580	2-methylbutanol exchange	1.184678e-05	1.441556e-04	2.132300e-04	1.554009e-04	9.387394e-05	1.036400e-03	1.054571e-03	2.450621e-03	2.466658e-06	1.547075e-05	2.421480e-04	4.609970e-04	1.973930e-04	1.941061e-03	2.961006e-03	2.308439e-03	1.488048e-03	1.486423e-02	1.750455e-02	3.733086e-02	3.667351e-05	2.785533e-04	4.275502e-03	6.686993e-03
r_1586	2-oxoglutarate exchange	1.660836e-05	6.248312e-05	6.829723e-05	6.608366e-05	8.518312e-05	7.274084e-03	8.215078e-03	1.012365e-03	1.878226e-06	1.164869e-05	4.443792e-04	4.474724e-04	4.715351e-04	1.839833e-03	2.098575e-03	2.246544e-03	2.043908e-03	6.404696e-02	9.899259e-02	2.862637e-02	3.622541e-05	2.667735e-04	1.194585e-02	1.136073e-02
r_1598	3-methylbutanal exchange	1.107108e-05	2.043961e-04	2.637156e-04	2.562535e-04	1.137892e-04	2.446416e-03	2.150337e-03	1.462226e-03	1.366702e-05	1.153544e-04	4.330085e-04	2.794793e-04	2.094847e-04	2.532466e-03	3.519581e-03	3.321515e-03	1.738616e-03	2.966663e-02	2.981698e-02	3.115799e-02	6.916988e-05	6.305532e-04	5.860174e-03	4.925558e-03
r_1604	4-aminobenzoate exchange	6.881434e-06	7.570717e-05	8.637016e-05	9.581899e-05	3.339431e-05	1.103528e-04	3.154303e-04	3.175342e-03	5.621633e-07	8.914198e-06	9.512336e-05	3.736359e-04	1.011353e-04	9.432395e-04	1.270653e-03	1.441488e-03	4.450438e-04	2.082761e-03	3.757272e-03	3.525403e-02	7.776334e-06	1.257630e-04	1.107205e-03	4.514640e-03
r_1630	9H-xanthine exchange	1.862946e-06	4.763582e-06	1.312784e-05	1.309458e-05	7.656478e-06	1.459681e-05	1.575275e-05	2.467958e-04	6.480595e-08	7.240516e-07	1.707853e-05	1.048583e-04	2.628290e-05	1.190065e-04	2.477705e-04	2.662098e-04	1.031259e-04	3.727443e-04	4.207578e-04	7.121105e-03	1.321397e-06	1.782722e-05	2.362442e-04	1.109597e-03
r_1631	acetaldehyde exchange	1.540671e-05	1.567476e-04	1.067868e-04	2.125600e-04	6.508042e-05	2.511371e-02	2.699717e-03	9.826466e-03	1.875173e-04	8.324031e-04	5.306331e-05	8.177284e-04	4.445309e-04	3.703413e-03	3.774350e-03	5.072492e-03	2.300250e-03	5.885682e-02	5.591953e-02	1.525973e-01	3.987779e-04	2.631219e-03	3.747636e-03	1.636721e-02
r_1634	acetate exchange	-5.182264e-01	-2.891198e+00	-4.362865e+00	-4.022996e+00	0	7.766638e-03	0	1.697590e-02	0	0	0	0	7.369220e-03	3.446385e-02	4.943328e-02	5.200744e-02	0	1.908800e-04	0	2.709456e-04	0	0	0	0
r_1641	adenosine 3',5'-bismonophosphate exchange	3.582330e-07	1.431405e-06	3.004100e-06	6.964653e-06	1.192890e-06	2.548049e-06	4.989913e-06	1.870911e-04	2.590432e-08	1.423000e-07	4.195000e-06	1.098023e-05	1.033616e-05	5.842518e-05	1.061792e-04	1.739945e-04	3.770740e-05	1.309687e-04	2.051023e-04	5.747842e-03	7.474298e-07	7.114304e-06	1.048068e-04	3.470864e-04
r_1650	alpha,alpha-trehalose exchange	3.017661e-06	1.660855e-05	2.850113e-05	1.676106e-05	2.639078e-05	7.622084e-05	1.656805e-04	6.389552e-05	1.909115e-07	6.452534e-07	6.140582e-05	8.096739e-05	8.706921e-05	4.908125e-04	7.887727e-04	5.974784e-04	7.056443e-04	3.111153e-03	5.237180e-03	4.518095e-03	7.827910e-06	4.562630e-05	1.947967e-03	2.559389e-03
r_1651	alpha-D-glucosamine 6-phosphate exchange	2.989898e-06	3.338959e-05	5.632037e-05	3.918843e-05	3.578197e-06	6.307510e-05	8.108166e-05	8.034106e-04	1.514040e-07	2.139273e-06	3.157036e-05	7.704870e-05	6.679595e-05	6.301835e-04	1.026825e-03	9.229412e-04	1.460501e-04	1.575773e-03	1.909585e-03	2.169406e-02	4.044024e-06	6.172455e-05	6.437185e-04	2.054296e-03
