reaction	A120	A100	A80	A60	G120	G100	G80	G60	X120	X100	X80	X60
acetate exchange	-5.254840e-01	-3.092998e+00	-4.452415e+00	-4.120973e+00	0	0	0	0	0	0	0	0
ammonium exchange	-3.252834e-02	-2.288077e-01	-3.611965e-01	-4.697964e-01	-1.141866e-01	-8.358701e-01	-8.687901e-01	-6.209565e+00	-2.024635e-03	-3.417744e-02	-2.533654e-01	-4.528442e-01
carbon dioxide exchange	2.580000e-01	2.799916e+00	4.878578e+00	3.207172e+00	8.077000e-01	1.961224e+00	1.869300e+00	2.944410e+00	4.143031e-02	4.154678e-01	2.488000e+00	3.088000e+00
D-xylose exchange	0	0	0	0	0	0	0	0	-1.767191e-02	-1.684442e-01	-2.658906e+00	-3.539471e+00
formate exchange	8.821973e-02	0	0	0	2.565849e-01	1.299101e-01	1.477486e-01	2.782374e-01	0	0	8.359590e-01	8.589043e-01
glycerol exchange	0	0	0	0	-1.028460e+00	-5.357364e+00	-6.442294e+00	-1.360661e+01	0	0	0	0
glyoxylate exchange	1.281298e-01	0	0	0	2.565647e-01	0	1.399663e-01	0	0	0	1.466842e+00	1.401504e+00
H+ exchange	-3.750028e-01	-2.814876e+00	-4.277826e+00	-3.898051e+00	-1.035145e+00	-3.520029e+00	-4.335787e+00	-4.930358e+00	-1.727962e-04	-1.511179e-03	-1.162719e-02	2.676699e-02
iron(2+) exchange	-8.775000e-09	-6.045000e-08	-8.385000e-08	-1.111500e-07	-3.022500e-08	-1.579500e-07	-1.735500e-07	-2.271750e-07	0	-6.825000e-09	-5.255250e-08	-8.775000e-08
L-alanine exchange	0	0	0	0	0	8.031636e-02	0	4.622137e+00	0	0	0	0
oxaloacetate(2-) exchange	0	0	0	0	0	0	4.873500e-01	0	0	0	2.845265e-01	3.587707e-01
oxygen exchange	-3.161753e-01	-2.290040e+00	-4.100865e+00	-2.465471e+00	-1.383754e+00	-3.572956e+00	-5.437861e+00	-9.819611e+00	-2.948159e-02	-3.229676e-01	-3.929212e+00	-4.215584e+00
phosphate exchange	-1.942173e-03	-1.336721e-02	-1.854007e-02	-2.454469e-02	-6.684719e-03	-3.495822e-02	-3.836366e-02	-5.014646e-02	-1.727962e-04	-1.511179e-03	-1.162719e-02	-1.939171e-02
pyruvate exchange	0	1.511047e-01	0	0	0	1.791977e+00	2.144871e+00	4.104259e+00	0	0	0	0
succinate exchange	0	6.158827e-03	0	0	0	1.609242e-02	1.749534e-02	2.314527e-02	0	0	0	0
sulphate exchange	-4.857343e-04	-3.402320e-03	-5.239386e-03	-6.838811e-03	-1.698568e-03	-1.076112e-02	-1.228276e-02	-2.142159e-02	-3.288818e-05	-4.831373e-04	-3.603948e-03	-5.823680e-03
urea exchange	0	0	0	0	0	0	0	0	0	0	0	2.307935e-02
water exchange	4.929075e-01	3.702932e+00	5.996112e+00	4.669827e+00	3.837037e+00	1.738980e+01	2.232921e+01	4.415833e+01	4.926051e-02	5.162088e-01	6.809723e+00	7.785006e+00
xylitol exchange	0	0	0	0	0	0	0	0	1.360499e-03	1.628145e-02	6.706502e-01	1.081615e+00
growth	8.775000e-03	6.045000e-02	8.385000e-02	1.111500e-01	3.022500e-02	1.579500e-01	1.735500e-01	2.271750e-01	7.800000e-04	6.825000e-03	5.255250e-02	8.775000e-02
protein exchange (OUT)	1.226413e-04	9.563132e-04	1.553347e-03	1.443051e-03	1.196982e-03	6.608522e-03	6.442695e-03	7.073340e-03	0	3.285750e-09	2.106000e-08	0
non-growth associated maintenance reaction	4.252652e-01	5.722472e+00	1.251111e+01	3.883241e+00	6.096927e+00	1.432164e+01	2.486086e+01	5.267308e+01	1.266483e-01	1.490399e+00	1.802244e+01	1.873691e+01
